a52dec 0.8.0-3
vlc-plugin-smb 3.0.23_2-6
vlc-plugin-soxr 3.0.23_2-6
vlc-plugin-speex 3.0.23_2-6
vlc-plugin-srt 3.0.23_2-6
vlc-plugin-svg 3.0.23_2-6
vlc-plugin-tag 3.0.23_2-6
vlc-plugin-theora 3.0.23_2-6
vlc-plugin-twolame 3.0.23_2-6
vlc-plugin-udev 3.0.23_2-6
vlc-plugin-upnp 3.0.23_2-6
vlc-plugin-vorbis 3.0.23_2-6
vlc-plugin-vpx 3.0.23_2-6
vlc-plugin-x264 3.0.23_2-6
vlc-plugin-x265 3.0.23_2-6
vlc-plugin-xml 3.0.23_2-6
vlc-plugin-zvbi 3.0.23_2-6
vlc-plugins-all 3.0.23_2-6
vlc-plugins-base 3.0.23_2-6
vlc-plugins-extra 3.0.23_2-6
vlc-plugins-video-output 3.0.23_2-6
vlc-plugins-visualization 3.0.23_2-6
vmaf 3.1.0-1
volume_key 0.3.12-12
vte-common 0.84.0-1
vte3 0.84.0-1
vulkan-icd-loader 1.4.350.0-1
vulkan-intel 2:26.1.1-1
vulkan-mesa-implicit-layers 2:26.1.1-1
wayland 1.25.0-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-5
which 2.25-1
wildmidi 0.4.6-1
wireless-regdb 2026.05.30-1
wireplumber 0.5.14-1
wpa_supplicant 2:2.11-5
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xapp 3.2.2-1
xapp-symbolic-icons 1.0.9-1
xbindkeys 1.8.7-5
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcursor-neutral 1.13a-9
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xed 3.8.9-2
xf86-input-libinput 1.5.0-1
xfce4-terminal 1.2.0-1
xfconf 4.20.0-2
xfsprogs 7.0.1-1
xkeyboard-config 2.47-1
xl2tpd 1.3.20-1
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.23-1
xorg-server-common 21.1.23-1
xorg-setxkbmap 1.3.5-1
xorg-xkbcomp 1.5.0-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.2-2
xorgproto 2025.1-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.3-1
yyjson 0.12.0-1
zbar 0.23.93-5
zeromq 4.3.5-3
zimg 3.0.6-1
zint 2.16.0-2
zix 0.8.0-1
zlib-ng 2.3.3-2
zlib-ng-compat 2.3.3-2
zram-generator 1.2.1-1
zsh 5.9.1-1
zsh-autosuggestions 0.7.1-1
zsh-completions 0.36.0-1
zsh-history-substring-search 1.1.0-2
zsh-syntax-highlighting 0.8.0-2
zsh-theme-powerlevel10k 1:1.20.15-1
zstd 1.5.7-2
zvbi 0.2.44-1
zxing-cpp 3.0.2-1
